,Texas Rangers, 1, @,  Toronto Blue Jays, 8,     Boxscore,
,Boston Red Sox, 1, @,  Baltimore Orioles, 2,     Boxscore,
, Montreal Expos, 5, @,  Chicago Cubs, 4,     Boxscore,
, Atlanta Braves, 10, @,  Cincinnati Reds, 4,     Boxscore,
, Chicago White Sox, 7, @,  Cleveland Indians, 4,     Boxscore,
,St. Louis Cardinals, 0, @,  Colorado Rockies, 8,     Boxscore,
, Philadelphia Phillies, 6, @,  Florida Marlins, 5,     Boxscore,
,Milwaukee Brewers, 0, @,  Los Angeles Dodgers, 1,     Boxscore,
,Kansas City Royals, 3, @,  New York Yankees, 7,     Boxscore,
,Oakland Athletics, 4, @,  Seattle Mariners, 5,     Boxscore,
,San Diego Padres, 2, @,  San Francisco Giants, 3,     Boxscore,
, New York Mets, 6, @,  Atlanta Braves, 4,     Boxscore,
,Pittsburgh Pirates, 2, @,  Cincinnati Reds, 3,     Boxscore,
, Minnesota Twins, 3, @,  Detroit Tigers, 2,     Boxscore,
, Philadelphia Phillies, 4, @,  Florida Marlins, 3,     Boxscore,
,Milwaukee Brewers, 3, @,  Houston Astros, 11,     Boxscore,
, Arizona D'Backs, 3, @,  Los Angeles Dodgers, 2,     Boxscore,
, Oakland Athletics, 5, @,  Seattle Mariners, 1,     Boxscore,
,Toronto Blue Jays, 1, @,  Tampa Bay Devil Rays, 8,     Boxscore,
,Anaheim Angels, 2, @,  Texas Rangers, 3,     Boxscore,
,New York Mets, 2, @,  Atlanta Braves, 3,     Boxscore,
, Boston Red Sox, 3, @,  Baltimore Orioles, 0,     Boxscore,
, Montreal Expos, 3, @,  Chicago Cubs, 2,     Boxscore,
, Pittsburgh Pirates, 6, @,  Cincinnati Reds, 5,     Boxscore,
,Chicago White Sox, 4, @,  Cleveland Indians, 8,     Boxscore,
,St. Louis Cardinals, 9, @,  Colorado Rockies, 13,     Boxscore,
, Philadelphia Phillies, 7, @,  Florida Marlins, 3,     Boxscore,
,Milwaukee Brewers, 6, @,  Houston Astros, 8,     Boxscore,
, Arizona D'Backs, 7, @,  Los Angeles Dodgers, 2,     Boxscore,
,Kansas City Royals, 2, @,  New York Yankees, 8,     Boxscore,
,Oakland Athletics, 2, @,  Seattle Mariners, 10,     Boxscore,
,San Diego Padres, 7, @,  San Francisco Giants, 8,     Boxscore,
