, Cleveland Indians, 6, @,  Anaheim Angels, 0,     Boxscore,
,San Diego Padres, 0, @,  Arizona D'Backs, 2,     Boxscore,
,Philadelphia Phillies, 2, @,  Atlanta Braves, 7,     Boxscore,
,New York Yankees, 3, @,  Baltimore Orioles, 10,     Boxscore,
, Toronto Blue Jays, 12, @,  Boston Red Sox, 11,     Boxscore,
,Chicago Cubs, 4, @,  Cincinnati Reds, 5,     Boxscore,
, Minnesota Twins, 8, @,  Kansas City Royals, 6,     Boxscore,
,Pittsburgh Pirates, 2, @,  New York Mets, 6,     Boxscore,
,Texas Rangers, 3, @,  Oakland Athletics, 8,     Boxscore,
, Chicago White Sox, 6, @,  Seattle Mariners, 5,     Boxscore,
,Colorado Rockies, 2, @,  St. Louis Cardinals, 10,     Boxscore,
,Cleveland Indians, 5, @,  Anaheim Angels, 7,     Boxscore,
,San Diego Padres, 0, @,  Arizona D'Backs, 9,     Boxscore,
, Milwaukee Brewers, 9, @,  Houston Astros, 3,     Boxscore,
, San Francisco Giants, 9, @,  Los Angeles Dodgers, 2,     Boxscore,
,Florida Marlins, 6, @,  Montreal Expos, 7,     Boxscore,
,Texas Rangers, 2, @,  Oakland Athletics, 3,     Boxscore,
,Chicago White Sox, 4, @,  Seattle Mariners, 7,     Boxscore,
,Detroit Tigers, 5, @,  Tampa Bay Devil Rays, 9,     Boxscore,
, Cleveland Indians, 6, @,  Anaheim Angels, 5,     Boxscore,
, San Diego Padres, 8, @,  Arizona D'Backs, 7,     Boxscore,
, Philadelphia Phillies, 3, @,  Atlanta Braves, 1,     Boxscore,
, New York Yankees, 1, @,  Baltimore Orioles, 0,     Boxscore,
, Chicago Cubs, 10, @,  Cincinnati Reds, 3,     Boxscore,
,Milwaukee Brewers, 2, @,  Houston Astros, 15,     Boxscore,
, Minnesota Twins, 1, @,  Kansas City Royals, 0,     Boxscore,
, San Francisco Giants, 12, @,  Los Angeles Dodgers, 0,     Boxscore,
, Florida Marlins, 6, @,  Montreal Expos, 5,     Boxscore,
, Pittsburgh Pirates, 5, @,  New York Mets, 3,     Boxscore,
,Texas Rangers, 6, @,  Oakland Athletics, 9,     Boxscore,
,Chicago White Sox, 6, @,  Seattle Mariners, 7,     Boxscore,
, Colorado Rockies, 6, @,  St. Louis Cardinals, 3,     Boxscore,
,Detroit Tigers, 1, @,  Tampa Bay Devil Rays, 2,     Boxscore,
,Philadelphia Phillies, 2, @,  Atlanta Braves, 11,     Boxscore,
, New York Yankees, 4, @,  Baltimore Orioles, 1,     Boxscore,
,Chicago Cubs, 1, @,  Cincinnati Reds, 3,     Boxscore,
