, Texas Rangers, 6, @,  Anaheim Angels, 3,     Boxscore,
, Los Angeles Dodgers, 8, @,  Arizona D'Backs, 0,     Boxscore,
, Montreal Expos, 10, @,  Atlanta Braves, 2,     Boxscore,
,Cleveland Indians, 5, @,  Baltimore Orioles, 6,     Boxscore,
, Pittsburgh Pirates, 10, @,  Cincinnati Reds, 1,     Boxscore,
, Minnesota Twins, 3, @,  Detroit Tigers, 1,     Boxscore,
, Philadelphia Phillies, 8, @,  Florida Marlins, 5,     Boxscore,
,Chicago White Sox, 0, @,  Kansas City Royals, 3,     Boxscore,
, Chicago Cubs, 15, @,  New York Mets, 2,     Boxscore,
, San Francisco Giants, 5, @,  San Diego Padres, 2,     Boxscore,
,Milwaukee Brewers, 9, @,  St. Louis Cardinals, 11,     Boxscore,
,Boston Red Sox, 4, @,  Tampa Bay Devil Rays, 6,     Boxscore,
, New York Yankees, 8, @,  Toronto Blue Jays, 4,     Boxscore,
,Texas Rangers, 0, @,  Anaheim Angels, 10,     Boxscore,
,Los Angeles Dodgers, 4, @,  Arizona D'Backs, 5,     Boxscore,
,Colorado Rockies, 4, @,  Houston Astros, 10,     Boxscore,
,Seattle Mariners, 0, @,  Oakland Athletics, 5,     Boxscore,
, San Francisco Giants, 8, @,  San Diego Padres, 1,     Boxscore,
, Boston Red Sox, 9, @,  Tampa Bay Devil Rays, 8,     Boxscore,
, New York Yankees, 10, @,  Toronto Blue Jays, 1,     Boxscore,
,Texas Rangers, 5, @,  Anaheim Angels, 11,     Boxscore,
, Los Angeles Dodgers, 5, @,  Arizona D'Backs, 0,     Boxscore,
, Montreal Expos, 3, @,  Atlanta Braves, 0,     Boxscore,
, Cleveland Indians, 4, @,  Baltimore Orioles, 2,     Boxscore,
, Pittsburgh Pirates, 7, @,  Cincinnati Reds, 4,     Boxscore,
, Minnesota Twins, 8, @,  Detroit Tigers, 1,     Boxscore,
, Philadelphia Phillies, 8, @,  Florida Marlins, 2,     Boxscore,
,Colorado Rockies, 7, @,  Houston Astros, 8,     Boxscore,
,Chicago White Sox, 4, @,  Kansas City Royals, 5,     Boxscore,
,Chicago Cubs, 1, @,  New York Mets, 4,     Boxscore,
,Seattle Mariners, 3, @,  Oakland Athletics, 8,     Boxscore,
, San Francisco Giants, 5, @,  San Diego Padres, 3,     Boxscore,
,Milwaukee Brewers, 0, @,  St. Louis Cardinals, 7,     Boxscore,
, Boston Red Sox, 7, @,  Tampa Bay Devil Rays, 5,     Boxscore,
, New York Yankees, 9, @,  Toronto Blue Jays, 7,     Boxscore,
, Montreal Expos, 4, @,  Atlanta Braves, 0,     Boxscore,
, Cleveland Indians, 3, @,  Baltimore Orioles, 0,     Boxscore,
, Pittsburgh Pirates, 7, @,  Cincinnati Reds, 5,     Boxscore,
, Minnesota Twins, 3, @,  Detroit Tigers, 0,     Boxscore,
,Philadelphia Phillies, 3, @,  Florida Marlins, 8,     Boxscore,
, Colorado Rockies, 10, @,  Houston Astros, 5,     Boxscore,
,Chicago White Sox, 6, @,  Kansas City Royals, 12,     Boxscore,
, Chicago Cubs, 6, @,  New York Mets, 3,     Boxscore,
, Seattle Mariners, 7, @,  Oakland Athletics, 6,     Boxscore,
,Los Angeles Dodgers, 1, @,  San Diego Padres, 6,     Boxscore,
,Milwaukee Brewers, 4, @,  St. Louis Cardinals, 6,     Boxscore,
, Boston Red Sox, 14, @,  Tampa Bay Devil Rays, 5,     Boxscore,
,Florida Marlins, 7, @,  Atlanta Braves, 12,     Boxscore,
, Boston Red Sox, 8, @,  Baltimore Orioles, 7,     Boxscore,
,Detroit Tigers, 2, @,  Chicago White Sox, 5,     Boxscore,
,Chicago Cubs, 9, @,  Cincinnati Reds, 10,     Boxscore,
,Arizona D'Backs, 1, @,  Colorado Rockies, 2,     Boxscore,
,Cleveland Indians, 1, @,  Kansas City Royals, 5,     Boxscore,
