,Boston Red Sox, 2, @,  New York Yankees, 9,     Boxscore,
, Chicago Cubs, 16, @,  Arizona D'Backs, 6,     Boxscore,
,Oakland Athletics, 0, @,  Baltimore Orioles, 4,     Boxscore,
,Cleveland Indians, 0, @,  Chicago White Sox, 1,     Boxscore,
,New York Mets, 6, @,  Cincinnati Reds, 7,     Boxscore,
,San Diego Padres, 10, @,  Colorado Rockies, 12,     Boxscore,
,Kansas City Royals, 2, @,  Detroit Tigers, 11,     Boxscore,
,Washington Nationals, 4, @,  Philadelphia Phillies, 8,     Boxscore,
, Milwaukee Brewers, 9, @,  Pittsburgh Pirates, 2,     Boxscore,
,Minnesota Twins, 1, @,  Seattle Mariners, 5,     Boxscore,
, Toronto Blue Jays, 5, @,  Tampa Bay Devil Rays, 2,     Boxscore,
,Texas Rangers, 2, @,  LA Angels of Anaheim, 3,     Boxscore,
,Chicago Cubs, 4, @,  Arizona D'Backs, 5,     Boxscore,
,Atlanta Braves, 0, @,  Florida Marlins, 9,     Boxscore,
, St. Louis Cardinals, 7, @,  Houston Astros, 3,     Boxscore,
,Boston Red Sox, 3, @,  New York Yankees, 4,     Boxscore,
, Minnesota Twins, 8, @,  Seattle Mariners, 4,     Boxscore,
,Los Angeles Dodgers, 2, @,  San Francisco Giants, 4,     Boxscore,
, Toronto Blue Jays, 6, @,  Tampa Bay Devil Rays, 3,     Boxscore,
, Texas Rangers, 3, @,  LA Angels of Anaheim, 2,     Boxscore,
,Chicago Cubs, 3, @,  Arizona D'Backs, 8,     Boxscore,
, Oakland Athletics, 9, @,  Baltimore Orioles, 0,     Boxscore,
,Cleveland Indians, 3, @,  Chicago White Sox, 4,     Boxscore,
,New York Mets, 5, @,  Cincinnati Reds, 9,     Boxscore,
, San Diego Padres, 14, @,  Colorado Rockies, 6,     Boxscore,
, Kansas City Royals, 7, @,  Detroit Tigers, 2,     Boxscore,
, Atlanta Braves, 2, @,  Florida Marlins, 1,     Boxscore,
,St. Louis Cardinals, 1, @,  Houston Astros, 4,     Boxscore,
, Boston Red Sox, 7, @,  New York Yankees, 3,     Boxscore,
, Washington Nationals, 7, @,  Philadelphia Phillies, 3,     Boxscore,
, Milwaukee Brewers, 10, @,  Pittsburgh Pirates, 2,     Boxscore,
, Minnesota Twins, 4, @,  Seattle Mariners, 1,     Boxscore,
, Los Angeles Dodgers, 10, @,  San Francisco Giants, 4,     Boxscore,
,Toronto Blue Jays, 5, @,  Tampa Bay Devil Rays, 8,     Boxscore,
,Texas Rangers, 6, @,  LA Angels of Anaheim, 7,     Boxscore,
