, New York Mets, 6, @,  St. Louis Cardinals, 1,     Boxscore,
,Texas Rangers, 1, @,  LA Angels of Anaheim, 4,     Boxscore,
, Cleveland Indians, 12, @,  Chicago White Sox, 5,     Boxscore,
,Chicago Cubs, 1, @,  Cincinnati Reds, 5,     Boxscore,
, Arizona D'Backs, 8, @,  Colorado Rockies, 6,     Boxscore,
, Toronto Blue Jays, 5, @,  Detroit Tigers, 3,     Boxscore,
, Pittsburgh Pirates, 4, @,  Houston Astros, 2,     Boxscore,
,Boston Red Sox, 1, @,  Kansas City Royals, 7,     Boxscore,
,Los Angeles Dodgers, 1, @,  Milwaukee Brewers, 7,     Boxscore,
,Baltimore Orioles, 4, @,  Minnesota Twins, 7,     Boxscore,
,Tampa Bay Devil Rays, 5, @,  New York Yankees, 9,     Boxscore,
, Atlanta Braves, 5, @,  Philadelphia Phillies, 3,     Boxscore,
,Oakland Athletics, 0, @,  Seattle Mariners, 4,     Boxscore,
, Florida Marlins, 9, @,  Washington Nationals, 2,     Boxscore,
,Texas Rangers, 3, @,  LA Angels of Anaheim, 8,     Boxscore,
,Arizona D'Backs, 3, @,  Colorado Rockies, 4,     Boxscore,
, Pittsburgh Pirates, 3, @,  Houston Astros, 2,     Boxscore,
,Los Angeles Dodgers, 3, @,  Milwaukee Brewers, 4,     Boxscore,
,Baltimore Orioles, 2, @,  Minnesota Twins, 3,     Boxscore,
,Oakland Athletics, 4, @,  Seattle Mariners, 8,     Boxscore,
, San Diego Padres, 7, @,  San Francisco Giants, 0,     Boxscore,
, New York Mets, 4, @,  St. Louis Cardinals, 1,     Boxscore,
, Florida Marlins, 9, @,  Washington Nationals, 3,     Boxscore,
,Texas Rangers, 3, @,  LA Angels of Anaheim, 5,     Boxscore,
, Cleveland Indians, 8, @,  Chicago White Sox, 7,     Boxscore,
, Chicago Cubs, 4, @,  Cincinnati Reds, 1,     Boxscore,
,Arizona D'Backs, 4, @,  Colorado Rockies, 11,     Boxscore,
,Toronto Blue Jays, 9, @,  Detroit Tigers, 10,     Boxscore,
, Pittsburgh Pirates, 5, @,  Houston Astros, 4,     Boxscore,
, Boston Red Sox, 7, @,  Kansas City Royals, 1,     Boxscore,
, Los Angeles Dodgers, 5, @,  Milwaukee Brewers, 4,     Boxscore,
,Baltimore Orioles, 2, @,  Minnesota Twins, 7,     Boxscore,
, Atlanta Braves, 3, @,  Philadelphia Phillies, 2,     Boxscore,
, Oakland Athletics, 9, @,  Seattle Mariners, 0,     Boxscore,
, San Diego Padres, 5, @,  San Francisco Giants, 3,     Boxscore,
, New York Mets, 10, @,  St. Louis Cardinals, 0,     Boxscore,
,Florida Marlins, 6, @,  Washington Nationals, 7,     Boxscore,
, Oakland Athletics, 4, @,  LA Angels of Anaheim, 3,     Boxscore,
,Cleveland Indians, 3, @,  Chicago White Sox, 4,     Boxscore,
,Chicago Cubs, 2, @,  Cincinnati Reds, 5,     Boxscore,
, Boston Red Sox, 4, @,  Kansas City Royals, 1,     Boxscore,
, Tampa Bay Devil Rays, 7, @,  New York Yankees, 6,     Boxscore,
, Atlanta Braves, 8, @,  Philadelphia Phillies, 4,     Boxscore,
,San Diego Padres, 3, @,  San Francisco Giants, 5,     Boxscore,
, Arizona D'Backs, 4, @,  Washington Nationals, 3,     Boxscore,
,Oakland Athletics, 2, @,  LA Angels of Anaheim, 5,     Boxscore,
, New York Mets, 11, @,  Atlanta Braves, 1,     Boxscore,
,Pittsburgh Pirates, 1, @,  Cincinnati Reds, 6,     Boxscore,
, Philadelphia Phillies, 8, @,  Florida Marlins, 2,     Boxscore,
, St. Louis Cardinals, 4, @,  Houston Astros, 2,     Boxscore,
,Detroit Tigers, 1, @,  Kansas City Royals, 3,     Boxscore,
, Chicago Cubs, 9, @,  Milwaukee Brewers, 3,     Boxscore,
, Baltimore Orioles, 6, @,  New York Yankees, 4,     Boxscore,
, Colorado Rockies, 4, @,  San Diego Padres, 3,     Boxscore,
, Los Angeles Dodgers, 2, @,  San Francisco Giants, 1,     Boxscore,
,Toronto Blue Jays, 5, @,  Tampa Bay Devil Rays, 6,     Boxscore,
,Boston Red Sox, 0, @,  Texas Rangers, 2,     Boxscore,
, Arizona D'Backs, 7, @,  Washington Nationals, 1,     Boxscore,
,Oakland Athletics, 1, @,  LA Angels of Anaheim, 2,     Boxscore,
,New York Mets, 3, @,  Atlanta Braves, 5,     Boxscore,
,Minnesota Twins, 0, @,  Chicago White Sox, 3,     Boxscore,
,Pittsburgh Pirates, 5, @,  Cincinnati Reds, 7,     Boxscore,
,Philadelphia Phillies, 5, @,  Florida Marlins, 8,     Boxscore,
,St. Louis Cardinals, 1, @,  Houston Astros, 5,     Boxscore,
, Detroit Tigers, 6, @,  Kansas City Royals, 5,     Boxscore,
, Chicago Cubs, 6, @,  Milwaukee Brewers, 3,     Boxscore,
,Baltimore Orioles, 7, @,  New York Yankees, 10,     Boxscore,
,Colorado Rockies, 2, @,  San Diego Padres, 3,     Boxscore,
, Los Angeles Dodgers, 4, @,  San Francisco Giants, 1,     Boxscore,
, Toronto Blue Jays, 8, @,  Tampa Bay Devil Rays, 5,     Boxscore,
,Boston Red Sox, 4, @,  Texas Rangers, 8,     Boxscore,
, Arizona D'Backs, 7, @,  Washington Nationals, 1,     Boxscore,
, Oakland Athletics, 2, @,  LA Angels of Anaheim, 1,     Boxscore,
,New York Mets, 2, @,  Atlanta Braves, 3,     Boxscore,
, Minnesota Twins, 3, @,  Chicago White Sox, 1,     Boxscore,
, Pittsburgh Pirates, 6, @,  Cincinnati Reds, 3,     Boxscore,
,Philadelphia Phillies, 4, @,  Florida Marlins, 6,     Boxscore,
, St. Louis Cardinals, 10, @,  Houston Astros, 1,     Boxscore,
