, Boston Red Sox, 6, @,  Oakland Athletics, 5,     Boxscore,
,Boston Red Sox, 1, @,  Oakland Athletics, 5,     Boxscore,
,Atlanta Braves, 2, @,  Washington Nationals, 3,     Boxscore,
, Pittsburgh Pirates, 12, @,  Atlanta Braves, 11,     Boxscore,
, Tampa Bay Rays, 6, @,  Baltimore Orioles, 2,     Boxscore,
, Milwaukee Brewers, 4, @,  Chicago Cubs, 3,     Boxscore,
, Arizona D'Backs, 4, @,  Cincinnati Reds, 2,     Boxscore,
,Chicago White Sox, 8, @,  Cleveland Indians, 10,     Boxscore,
, Kansas City Royals, 5, @,  Detroit Tigers, 4,     Boxscore,
, New York Mets, 7, @,  Florida Marlins, 2,     Boxscore,
,San Francisco Giants, 0, @,  Los Angeles Dodgers, 5,     Boxscore,
,LA Angels of Anaheim, 2, @,  Minnesota Twins, 3,     Boxscore,
, Washington Nationals, 11, @,  Philadelphia Phillies, 6,     Boxscore,
,Houston Astros, 0, @,  San Diego Padres, 4,     Boxscore,
,Texas Rangers, 2, @,  Seattle Mariners, 5,     Boxscore,
,New York Mets, 4, @,  Florida Marlins, 5,     Boxscore,
,San Francisco Giants, 2, @,  Los Angeles Dodgers, 3,     Boxscore,
, LA Angels of Anaheim, 9, @,  Minnesota Twins, 1,     Boxscore,
,Toronto Blue Jays, 2, @,  New York Yankees, 3,     Boxscore,
, Boston Red Sox, 2, @,  Oakland Athletics, 1,     Boxscore,
,Houston Astros, 1, @,  San Diego Padres, 2,     Boxscore,
, Texas Rangers, 5, @,  Seattle Mariners, 4,     Boxscore,
, Colorado Rockies, 2, @,  St. Louis Cardinals, 1,     Boxscore,
,Pittsburgh Pirates, 2, @,  Atlanta Braves, 10,     Boxscore,
,Tampa Bay Rays, 6, @,  Baltimore Orioles, 9,     Boxscore,
, Milwaukee Brewers, 8, @,  Chicago Cubs, 2,     Boxscore,
,Arizona D'Backs, 5, @,  Cincinnati Reds, 6,     Boxscore,
,Chicago White Sox, 2, @,  Cleveland Indians, 7,     Boxscore,
