, Atlanta Braves, 4, @,  Philadelphia Phillies, 1,     Boxscore,
,Oakland Athletics, 0, @,  LA Angels of Anaheim, 3,     Boxscore,
,Colorado Rockies, 8, @,  Arizona D'Backs, 9,     Boxscore,
,New York Yankees, 5, @,  Baltimore Orioles, 10,     Boxscore,
, New York Mets, 2, @,  Cincinnati Reds, 1,     Boxscore,
,Washington Nationals, 6, @,  Florida Marlins, 12,     Boxscore,
, Chicago Cubs, 4, @,  Houston Astros, 2,     Boxscore,
, Seattle Mariners, 6, @,  Minnesota Twins, 1,     Boxscore,
, Los Angeles Dodgers, 4, @,  San Diego Padres, 1,     Boxscore,
, Pittsburgh Pirates, 6, @,  St. Louis Cardinals, 4,     Boxscore,
,Cleveland Indians, 1, @,  Texas Rangers, 9,     Boxscore,
,Detroit Tigers, 5, @,  Toronto Blue Jays, 12,     Boxscore,
, Oakland Athletics, 6, @,  LA Angels of Anaheim, 4,     Boxscore,
, Colorado Rockies, 3, @,  Arizona D'Backs, 0,     Boxscore,
,Tampa Bay Rays, 3, @,  Boston Red Sox, 5,     Boxscore,
,Kansas City Royals, 2, @,  Chicago White Sox, 4,     Boxscore,
,Washington Nationals, 3, @,  Florida Marlins, 8,     Boxscore,
,Chicago Cubs, 2, @,  Houston Astros, 3,     Boxscore,
,Seattle Mariners, 5, @,  Minnesota Twins, 6,     Boxscore,
, Atlanta Braves, 4, @,  Philadelphia Phillies, 0,     Boxscore,
,Los Angeles Dodgers, 2, @,  San Diego Padres, 4,     Boxscore,
,Milwaukee Brewers, 6, @,  San Francisco Giants, 10,     Boxscore,
,Pittsburgh Pirates, 3, @,  St. Louis Cardinals, 9,     Boxscore,
,Detroit Tigers, 4, @,  Toronto Blue Jays, 5,     Boxscore,
, Oakland Athletics, 6, @,  LA Angels of Anaheim, 4,     Boxscore,
, Colorado Rockies, 9, @,  Arizona D'Backs, 2,     Boxscore,
,New York Yankees, 5, @,  Baltimore Orioles, 7,     Boxscore,
, Tampa Bay Rays, 7, @,  Boston Red Sox, 2,     Boxscore,
, Kansas City Royals, 2, @,  Chicago White Sox, 0,     Boxscore,
, New York Mets, 9, @,  Cincinnati Reds, 7,     Boxscore,
,Washington Nationals, 4, @,  Florida Marlins, 6,     Boxscore,
, Chicago Cubs, 11, @,  Houston Astros, 6,     Boxscore,
,Seattle Mariners, 5, @,  Minnesota Twins, 6,     Boxscore,
,Atlanta Braves, 11, @,  Philadelphia Phillies, 12,     Boxscore,
, Los Angeles Dodgers, 5, @,  San Diego Padres, 2,     Boxscore,
, Milwaukee Brewers, 4, @,  San Francisco Giants, 2,     Boxscore,
, Pittsburgh Pirates, 7, @,  St. Louis Cardinals, 4,     Boxscore,
,Cleveland Indians, 5, @,  Texas Rangers, 8,     Boxscore,
, Detroit Tigers, 5, @,  Toronto Blue Jays, 1,     Boxscore,
, New York Yankees, 11, @,  Baltimore Orioles, 2,     Boxscore,
, Tampa Bay Rays, 4, @,  Boston Red Sox, 3,     Boxscore,
, Kansas City Royals, 2, @,  Chicago White Sox, 1,     Boxscore,
,New York Mets, 6, @,  Cincinnati Reds, 8,     Boxscore,
, Seattle Mariners, 2, @,  Minnesota Twins, 0,     Boxscore,
,Los Angeles Dodgers, 3, @,  San Diego Padres, 4,     Boxscore,
,Milwaukee Brewers, 1, @,  San Francisco Giants, 7,     Boxscore,
,Pittsburgh Pirates, 1, @,  St. Louis Cardinals, 2,     Boxscore,
,Cleveland Indians, 8, @,  Texas Rangers, 12,     Boxscore,
,Detroit Tigers, 2, @,  Toronto Blue Jays, 6,     Boxscore,
,Boston Red Sox, 3, @,  LA Angels of Anaheim, 6,     Boxscore,
,Los Angeles Dodgers, 4, @,  Arizona D'Backs, 9,     Boxscore,
,Washington Nationals, 5, @,  Atlanta Braves, 6,     Boxscore,
,Tampa Bay Rays, 4, @,  Baltimore Orioles, 5,     Boxscore,
, Minnesota Twins, 12, @,  Chicago White Sox, 5,     Boxscore,
, Toronto Blue Jays, 13, @,  Cleveland Indians, 7,     Boxscore,
,Philadelphia Phillies, 3, @,  Colorado Rockies, 10,     Boxscore,
,Texas Rangers, 2, @,  Detroit Tigers, 15,     Boxscore,
,New York Mets, 4, @,  Florida Marlins, 5,     Boxscore,
, New York Yankees, 4, @,  Kansas City Royals, 1,     Boxscore,
,Chicago Cubs, 3, @,  Milwaukee Brewers, 4,     Boxscore,
, Seattle Mariners, 5, @,  Oakland Athletics, 4,     Boxscore,
,San Francisco Giants, 3, @,  San Diego Padres, 7,     Boxscore,
,Houston Astros, 3, @,  St. Louis Cardinals, 5,     Boxscore,
, Boston Red Sox, 5, @,  LA Angels of Anaheim, 4,     Boxscore,
, Los Angeles Dodgers, 11, @,  Arizona D'Backs, 2,     Boxscore,
,Washington Nationals, 3, @,  Atlanta Braves, 5,     Boxscore,
,Tampa Bay Rays, 0, @,  Baltimore Orioles, 6,     Boxscore,
,Minnesota Twins, 0, @,  Chicago White Sox, 8,     Boxscore,
, Pittsburgh Pirates, 10, @,  Cincinnati Reds, 2,     Boxscore,
, Toronto Blue Jays, 5, @,  Cleveland Indians, 4,     Boxscore,
, Philadelphia Phillies, 8, @,  Colorado Rockies, 4,     Boxscore,
,Texas Rangers, 3, @,  Detroit Tigers, 4,     Boxscore,
, New York Mets, 8, @,  Florida Marlins, 4,     Boxscore,
, New York Yankees, 6, @,  Kansas City Royals, 1,     Boxscore,
, Chicago Cubs, 6, @,  Milwaukee Brewers, 5,     Boxscore,
, Seattle Mariners, 8, @,  Oakland Athletics, 5,     Boxscore,
,San Francisco Giants, 3, @,  San Diego Padres, 6,     Boxscore,
,Houston Astros, 2, @,  St. Louis Cardinals, 11,     Boxscore,
,Boston Red Sox, 4, @,  LA Angels of Anaheim, 5,     Boxscore,
, Los Angeles Dodgers, 3, @,  Arizona D'Backs, 1,     Boxscore,
,Washington Nationals, 5, @,  Atlanta Braves, 8,     Boxscore,
, Tampa Bay Rays, 11, @,  Baltimore Orioles, 3,     Boxscore,
,Minnesota Twins, 1, @,  Chicago White Sox, 6,     Boxscore,
,Pittsburgh Pirates, 0, @,  Cincinnati Reds, 2,     Boxscore,
,Toronto Blue Jays, 4, @,  Cleveland Indians, 8,     Boxscore,
, Philadelphia Phillies, 7, @,  Colorado Rockies, 5,     Boxscore,
,Texas Rangers, 4, @,  Detroit Tigers, 6,     Boxscore,
,New York Mets, 1, @,  Florida Marlins, 2,     Boxscore,
,New York Yankees, 4, @,  Kansas City Royals, 6,     Boxscore,
, Chicago Cubs, 8, @,  Milwaukee Brewers, 5,     Boxscore,
, Seattle Mariners, 1, @,  Oakland Athletics, 0,     Boxscore,
,San Francisco Giants, 1, @,  San Diego Padres, 6,     Boxscore,
