,New York Yankees, 7, @,  Boston Red Sox, 9,     Boxscore,
,Minnesota Twins, 3, @,  LA Angels of Anaheim, 6,     Boxscore,
,San Diego Padres, 3, @,  Arizona D'Backs, 6,     Boxscore,
,Chicago Cubs, 5, @,  Atlanta Braves, 16,     Boxscore,
,Cleveland Indians, 0, @,  Chicago White Sox, 6,     Boxscore,
, St. Louis Cardinals, 11, @,  Cincinnati Reds, 6,     Boxscore,
, San Francisco Giants, 5, @,  Houston Astros, 2,     Boxscore,
, Detroit Tigers, 8, @,  Kansas City Royals, 4,     Boxscore,
, Colorado Rockies, 5, @,  Milwaukee Brewers, 3,     Boxscore,
,Florida Marlins, 1, @,  New York Mets, 7,     Boxscore,
, Seattle Mariners, 5, @,  Oakland Athletics, 3,     Boxscore,
,Los Angeles Dodgers, 5, @,  Pittsburgh Pirates, 11,     Boxscore,
,Toronto Blue Jays, 4, @,  Texas Rangers, 5,     Boxscore,
, Philadelphia Phillies, 11, @,  Washington Nationals, 1,     Boxscore,
, Minnesota Twins, 5, @,  LA Angels of Anaheim, 3,     Boxscore,
, San Diego Padres, 6, @,  Arizona D'Backs, 3,     Boxscore,
, New York Yankees, 6, @,  Boston Red Sox, 4,     Boxscore,
, San Francisco Giants, 3, @,  Houston Astros, 0,     Boxscore,
,Colorado Rockies, 5, @,  Milwaukee Brewers, 7,     Boxscore,
,Seattle Mariners, 1, @,  Oakland Athletics, 2,     Boxscore,
,Baltimore Orioles, 3, @,  Tampa Bay Rays, 4,     Boxscore,
, Minnesota Twins, 4, @,  LA Angels of Anaheim, 2,     Boxscore,
,San Diego Padres, 3, @,  Arizona D'Backs, 5,     Boxscore,
,Chicago Cubs, 2, @,  Atlanta Braves, 3,     Boxscore,
, New York Yankees, 3, @,  Boston Red Sox, 1,     Boxscore,
, Cleveland Indians, 5, @,  Chicago White Sox, 3,     Boxscore,
, St. Louis Cardinals, 6, @,  Cincinnati Reds, 3,     Boxscore,
, San Francisco Giants, 10, @,  Houston Astros, 4,     Boxscore,
,Detroit Tigers, 2, @,  Kansas City Royals, 3,     Boxscore,
,Colorado Rockies, 4, @,  Milwaukee Brewers, 5,     Boxscore,
, Florida Marlins, 7, @,  New York Mets, 6,     Boxscore,
,Seattle Mariners, 5, @,  Oakland Athletics, 6,     Boxscore,
,Los Angeles Dodgers, 3, @,  Pittsburgh Pirates, 4,     Boxscore,
,Baltimore Orioles, 3, @,  Tampa Bay Rays, 4,     Boxscore,
, Toronto Blue Jays, 7, @,  Texas Rangers, 4,     Boxscore,
, Philadelphia Phillies, 8, @,  Washington Nationals, 4,     Boxscore,
, Minnesota Twins, 10, @,  LA Angels of Anaheim, 1,     Boxscore,
, Chicago Cubs, 2, @,  Atlanta Braves, 0,     Boxscore,
, Cleveland Indians, 5, @,  Chicago White Sox, 3,     Boxscore,
,St. Louis Cardinals, 1, @,  Cincinnati Reds, 2,     Boxscore,
, Detroit Tigers, 7, @,  Kansas City Royals, 3,     Boxscore,
, Florida Marlins, 3, @,  New York Mets, 1,     Boxscore,
,Seattle Mariners, 2, @,  Oakland Athletics, 6,     Boxscore,
, Los Angeles Dodgers, 10, @,  Pittsburgh Pirates, 2,     Boxscore,
, Baltimore Orioles, 5, @,  Tampa Bay Rays, 4,     Boxscore,
, Toronto Blue Jays, 3, @,  Texas Rangers, 1,     Boxscore,
,Philadelphia Phillies, 5, @,  Washington Nationals, 6,     Boxscore,
, Oakland Athletics, 10, @,  LA Angels of Anaheim, 4,     Boxscore,
,Pittsburgh Pirates, 1, @,  Arizona D'Backs, 9,     Boxscore,
, Toronto Blue Jays, 7, @,  Baltimore Orioles, 6,     Boxscore,
, Minnesota Twins, 4, @,  Chicago White Sox, 3,     Boxscore,
,Chicago Cubs, 4, @,  Cincinnati Reds, 5,     Boxscore,
,San Diego Padres, 0, @,  Colorado Rockies, 7,     Boxscore,
,Cleveland Indians, 2, @,  Detroit Tigers, 5,     Boxscore,
, Los Angeles Dodgers, 7, @,  Florida Marlins, 3,     Boxscore,
, Philadelphia Phillies, 8, @,  Houston Astros, 0,     Boxscore,
,Boston Red Sox, 3, @,  Kansas City Royals, 4,     Boxscore,
