,Milwaukee Brewers, 6, @,  Cincinnati Reds, 7,     Boxscore,
, LA Angels of Anaheim, 4, @,  Kansas City Royals, 2,     Boxscore,
,San Francisco Giants, 1, @,  Los Angeles Dodgers, 2,     Boxscore,
,Detroit Tigers, 3, @,  New York Yankees, 6,     Boxscore,
, San Diego Padres, 5, @,  St. Louis Cardinals, 3,     Boxscore,
, Atlanta Braves, 2, @,  Washington Nationals, 0,     Boxscore,
, Pittsburgh Pirates, 6, @,  Chicago Cubs, 3,     Boxscore,
, Chicago White Sox, 15, @,  Cleveland Indians, 10,     Boxscore,
, Arizona D'Backs, 7, @,  Colorado Rockies, 6,     Boxscore,
,New York Mets, 2, @,  Florida Marlins, 6,     Boxscore,
,LA Angels of Anaheim, 1, @,  Kansas City Royals, 2,     Boxscore,
,San Francisco Giants, 3, @,  Los Angeles Dodgers, 4,     Boxscore,
, Seattle Mariners, 6, @,  Oakland Athletics, 2,     Boxscore,
,Houston Astros, 4, @,  Philadelphia Phillies, 5,     Boxscore,
, Baltimore Orioles, 4, @,  Tampa Bay Rays, 1,     Boxscore,
,Boston Red Sox, 5, @,  Texas Rangers, 9,     Boxscore,
,Minnesota Twins, 3, @,  Toronto Blue Jays, 13,     Boxscore,
,Pittsburgh Pirates, 3, @,  Chicago Cubs, 5,     Boxscore,
,Milwaukee Brewers, 2, @,  Cincinnati Reds, 4,     Boxscore,
, Chicago White Sox, 8, @,  Cleveland Indians, 3,     Boxscore,
,Arizona D'Backs, 1, @,  Colorado Rockies, 3,     Boxscore,
, New York Mets, 6, @,  Florida Marlins, 4,     Boxscore,
,LA Angels of Anaheim, 4, @,  Kansas City Royals, 5,     Boxscore,
, San Francisco Giants, 10, @,  Los Angeles Dodgers, 0,     Boxscore,
,Detroit Tigers, 6, @,  New York Yankees, 10,     Boxscore,
, Seattle Mariners, 5, @,  Oakland Athletics, 2,     Boxscore,
,Houston Astros, 4, @,  Philadelphia Phillies, 9,     Boxscore,
, San Diego Padres, 11, @,  St. Louis Cardinals, 3,     Boxscore,
, Baltimore Orioles, 3, @,  Tampa Bay Rays, 1,     Boxscore,
,Boston Red Sox, 5, @,  Texas Rangers, 12,     Boxscore,
,Minnesota Twins, 1, @,  Toronto Blue Jays, 6,     Boxscore,
,Atlanta Braves, 3, @,  Washington Nationals, 6,     Boxscore,
, Pittsburgh Pirates, 5, @,  Chicago Cubs, 4,     Boxscore,
,Milwaukee Brewers, 3, @,  Cincinnati Reds, 12,     Boxscore,
,Chicago White Sox, 1, @,  Cleveland Indians, 7,     Boxscore,
, New York Mets, 9, @,  Florida Marlins, 2,     Boxscore,
,LA Angels of Anaheim, 9, @,  Kansas City Royals, 12,     Boxscore,
,San Francisco Giants, 5, @,  Los Angeles Dodgers, 7,     Boxscore,
, Detroit Tigers, 10, @,  New York Yankees, 7,     Boxscore,
,Seattle Mariners, 1, @,  Oakland Athletics, 7,     Boxscore,
,Houston Astros, 3, @,  Philadelphia Phillies, 7,     Boxscore,
,San Diego Padres, 0, @,  St. Louis Cardinals, 2,     Boxscore,
, Baltimore Orioles, 5, @,  Tampa Bay Rays, 1,     Boxscore,
,Boston Red Sox, 1, @,  Texas Rangers, 5,     Boxscore,
, Minnesota Twins, 4, @,  Toronto Blue Jays, 3,     Boxscore,
, Atlanta Braves, 11, @,  Washington Nationals, 2,     Boxscore,
,Detroit Tigers, 1, @,  Baltimore Orioles, 5,     Boxscore,
,Arizona D'Backs, 1, @,  Chicago Cubs, 4,     Boxscore,
, Atlanta Braves, 2, @,  Milwaukee Brewers, 1,     Boxscore,
,Minnesota Twins, 3, @,  New York Yankees, 4,     Boxscore,
, Pittsburgh Pirates, 4, @,  St. Louis Cardinals, 3,     Boxscore,
,Seattle Mariners, 4, @,  Texas Rangers, 6,     Boxscore,
,Arizona D'Backs, 5, @,  Chicago Cubs, 6,     Boxscore,
,Houston Astros, 2, @,  Cincinnati Reds, 8,     Boxscore,
,Boston Red Sox, 1, @,  Cleveland Indians, 3,     Boxscore,
,Los Angeles Dodgers, 0, @,  Colorado Rockies, 3,     Boxscore,
,Washington Nationals, 2, @,  Florida Marlins, 3,     Boxscore,
,Chicago White Sox, 6, @,  Kansas City Royals, 7,     Boxscore,
,Atlanta Braves, 0, @,  Milwaukee Brewers, 1,     Boxscore,
, Minnesota Twins, 5, @,  New York Yankees, 4,     Boxscore,
, New York Mets, 7, @,  Philadelphia Phillies, 1,     Boxscore,
,San Francisco Giants, 1, @,  San Diego Padres, 3,     Boxscore,
,Pittsburgh Pirates, 2, @,  St. Louis Cardinals, 3,     Boxscore,
, LA Angels of Anaheim, 5, @,  Tampa Bay Rays, 3,     Boxscore,
,Seattle Mariners, 2, @,  Texas Rangers, 3,     Boxscore,
,Oakland Athletics, 6, @,  Toronto Blue Jays, 7,     Boxscore,
, Detroit Tigers, 7, @,  Baltimore Orioles, 3,     Boxscore,
, Arizona D'Backs, 6, @,  Chicago Cubs, 4,     Boxscore,
,Houston Astros, 4, @,  Cincinnati Reds, 12,     Boxscore,
,Boston Red Sox, 4, @,  Cleveland Indians, 8,     Boxscore,
,Los Angeles Dodgers, 5, @,  Colorado Rockies, 7,     Boxscore,
,Washington Nationals, 4, @,  Florida Marlins, 7,     Boxscore,
, Chicago White Sox, 10, @,  Kansas City Royals, 7,     Boxscore,
,Atlanta Braves, 4, @,  Milwaukee Brewers, 5,     Boxscore,
,New York Mets, 7, @,  Philadelphia Phillies, 10,     Boxscore,
, San Francisco Giants, 8, @,  San Diego Padres, 4,     Boxscore,
, Pittsburgh Pirates, 3, @,  St. Louis Cardinals, 1,     Boxscore,
, LA Angels of Anaheim, 5, @,  Tampa Bay Rays, 1,     Boxscore,
,Seattle Mariners, 3, @,  Texas Rangers, 7,     Boxscore,
,Oakland Athletics, 3, @,  Toronto Blue Jays, 5,     Boxscore,
,Detroit Tigers, 5, @,  Baltimore Orioles, 9,     Boxscore,
,Tampa Bay Rays, 1, @,  Chicago White Sox, 5,     Boxscore,
, Houston Astros, 3, @,  Cincinnati Reds, 2,     Boxscore,
,Boston Red Sox, 0, @,  Cleveland Indians, 1,     Boxscore,
, Washington Nationals, 5, @,  Florida Marlins, 3,     Boxscore,
,Atlanta Braves, 2, @,  Milwaukee Brewers, 4,     Boxscore,
,Minnesota Twins, 3, @,  New York Yankees, 4,     Boxscore,
,New York Mets, 0, @,  Philadelphia Phillies, 11,     Boxscore,
, Colorado Rockies, 7, @,  Pittsburgh Pirates, 1,     Boxscore,
, Oakland Athletics, 2, @,  Toronto Blue Jays, 1,     Boxscore,
, Toronto Blue Jays, 3, @,  LA Angels of Anaheim, 2,     Boxscore,
,Cincinnati Reds, 2, @,  Arizona D'Backs, 13,     Boxscore,
,Philadelphia Phillies, 3, @,  Atlanta Braves, 6,     Boxscore,
,New York Yankees, 6, @,  Boston Red Sox, 9,     Boxscore,
, Tampa Bay Rays, 9, @,  Chicago White Sox, 7,     Boxscore,
,Kansas City Royals, 2, @,  Detroit Tigers, 5,     Boxscore,
, Florida Marlins, 4, @,  Houston Astros, 3,     Boxscore,
, Chicago Cubs, 7, @,  Milwaukee Brewers, 4,     Boxscore,
,Oakland Athletics, 1, @,  Minnesota Twins, 2,     Boxscore,
, Washington Nationals, 6, @,  New York Mets, 2,     Boxscore,
,Colorado Rockies, 3, @,  Pittsburgh Pirates, 4,     Boxscore,
, Los Angeles Dodgers, 4, @,  San Diego Padres, 2,     Boxscore,
, Cleveland Indians, 12, @,  Seattle Mariners, 3,     Boxscore,
,St. Louis Cardinals, 4, @,  San Francisco Giants, 5,     Boxscore,
,Toronto Blue Jays, 5, @,  LA Angels of Anaheim, 6,     Boxscore,
, Cincinnati Reds, 6, @,  Arizona D'Backs, 1,     Boxscore,
, Philadelphia Phillies, 10, @,  Atlanta Braves, 2,     Boxscore,
,Texas Rangers, 0, @,  Baltimore Orioles, 5,     Boxscore,
, Texas Rangers, 13, @,  Baltimore Orioles, 1,     Boxscore,
, New York Yankees, 9, @,  Boston Red Sox, 4,     Boxscore,
,Tampa Bay Rays, 2, @,  Chicago White Sox, 4,     Boxscore,
, Kansas City Royals, 3, @,  Detroit Tigers, 1,     Boxscore,
, Florida Marlins, 7, @,  Houston Astros, 5,     Boxscore,
,Chicago Cubs, 0, @,  Milwaukee Brewers, 6,     Boxscore,
, Oakland Athletics, 1, @,  Minnesota Twins, 0,     Boxscore,
,Washington Nationals, 4, @,  New York Mets, 8,     Boxscore,
, Colorado Rockies, 6, @,  Pittsburgh Pirates, 4,     Boxscore,
, Los Angeles Dodgers, 4, @,  San Diego Padres, 0,     Boxscore,
, Cleveland Indians, 2, @,  Seattle Mariners, 1,     Boxscore,
,St. Louis Cardinals, 2, @,  San Francisco Giants, 3,     Boxscore,
