, Seattle Mariners, 3, @,  Oakland Athletics, 1,     Boxscore,
,Seattle Mariners, 1, @,  Oakland Athletics, 4,     Boxscore,
, St. Louis Cardinals, 4, @,  Miami Marlins, 1,     Boxscore,
, Washington Nationals, 2, @,  Chicago Cubs, 1,     Boxscore,
,Miami Marlins, 0, @,  Cincinnati Reds, 4,     Boxscore,
, Toronto Blue Jays, 7, @,  Cleveland Indians, 4,     Boxscore,
,Boston Red Sox, 2, @,  Detroit Tigers, 3,     Boxscore,
,Atlanta Braves, 0, @,  New York Mets, 1,     Boxscore,
, Philadelphia Phillies, 1, @,  Pittsburgh Pirates, 0,     Boxscore,
, Los Angeles Dodgers, 5, @,  San Diego Padres, 3,     Boxscore,
,Kansas City Royals, 0, @,  LA Angels of Anaheim, 5,     Boxscore,
,San Francisco Giants, 4, @,  Arizona D'Backs, 5,     Boxscore,
,Minnesota Twins, 2, @,  Baltimore Orioles, 4,     Boxscore,
, Colorado Rockies, 5, @,  Houston Astros, 3,     Boxscore,
, St. Louis Cardinals, 11, @,  Milwaukee Brewers, 5,     Boxscore,
, Seattle Mariners, 7, @,  Oakland Athletics, 3,     Boxscore,
, Los Angeles Dodgers, 6, @,  San Diego Padres, 0,     Boxscore,
,New York Yankees, 6, @,  Tampa Bay Rays, 7,     Boxscore,
,Chicago White Sox, 2, @,  Texas Rangers, 3,     Boxscore,
, Kansas City Royals, 6, @,  LA Angels of Anaheim, 3,     Boxscore,
,San Francisco Giants, 4, @,  Arizona D'Backs, 5,     Boxscore,
,Minnesota Twins, 2, @,  Baltimore Orioles, 8,     Boxscore,
, Washington Nationals, 7, @,  Chicago Cubs, 4,     Boxscore,
, Miami Marlins, 8, @,  Cincinnati Reds, 3,     Boxscore,
, Toronto Blue Jays, 7, @,  Cleveland Indians, 4,     Boxscore,
,Boston Red Sox, 0, @,  Detroit Tigers, 10,     Boxscore,
,Colorado Rockies, 3, @,  Houston Astros, 7,     Boxscore,
,St. Louis Cardinals, 0, @,  Milwaukee Brewers, 6,     Boxscore,
,Atlanta Braves, 2, @,  New York Mets, 4,     Boxscore,
, Seattle Mariners, 8, @,  Oakland Athletics, 7,     Boxscore,
,Philadelphia Phillies, 1, @,  Pittsburgh Pirates, 2,     Boxscore,
, Los Angeles Dodgers, 6, @,  San Diego Padres, 5,     Boxscore,
,New York Yankees, 6, @,  Tampa Bay Rays, 8,     Boxscore,
, Chicago White Sox, 4, @,  Texas Rangers, 3,     Boxscore,
, Kansas City Royals, 7, @,  LA Angels of Anaheim, 3,     Boxscore,
,San Francisco Giants, 6, @,  Arizona D'Backs, 7,     Boxscore,
,Minnesota Twins, 1, @,  Baltimore Orioles, 3,     Boxscore,
,Washington Nationals, 3, @,  Chicago Cubs, 4,     Boxscore,
,Miami Marlins, 5, @,  Cincinnati Reds, 6,     Boxscore,
,Toronto Blue Jays, 3, @,  Cleveland Indians, 4,     Boxscore,
,Boston Red Sox, 12, @,  Detroit Tigers, 13,     Boxscore,
,Colorado Rockies, 2, @,  Houston Astros, 3,     Boxscore,
, St. Louis Cardinals, 9, @,  Milwaukee Brewers, 3,     Boxscore,
,Atlanta Braves, 5, @,  New York Mets, 7,     Boxscore,
,Philadelphia Phillies, 4, @,  Pittsburgh Pirates, 5,     Boxscore,
,Los Angeles Dodgers, 4, @,  San Diego Padres, 8,     Boxscore,
,New York Yankees, 0, @,  Tampa Bay Rays, 3,     Boxscore,
,Chicago White Sox, 0, @,  Texas Rangers, 5,     Boxscore,
, New York Yankees, 6, @,  Baltimore Orioles, 2,     Boxscore,
, Milwaukee Brewers, 7, @,  Chicago Cubs, 5,     Boxscore,
, St. Louis Cardinals, 7, @,  Cincinnati Reds, 1,     Boxscore,
, Chicago White Sox, 4, @,  Cleveland Indians, 2,     Boxscore,
, San Francisco Giants, 7, @,  Colorado Rockies, 0,     Boxscore,
,Atlanta Braves, 3, @,  Houston Astros, 8,     Boxscore,
, LA Angels of Anaheim, 5, @,  Minnesota Twins, 1,     Boxscore,
,Washington Nationals, 3, @,  New York Mets, 4,     Boxscore,
,Kansas City Royals, 0, @,  Oakland Athletics, 1,     Boxscore,
, Miami Marlins, 6, @,  Philadelphia Phillies, 2,     Boxscore,
,Seattle Mariners, 5, @,  Texas Rangers, 11,     Boxscore,
, Boston Red Sox, 4, @,  Toronto Blue Jays, 2,     Boxscore,
, New York Yankees, 5, @,  Baltimore Orioles, 4,     Boxscore,
, Milwaukee Brewers, 7, @,  Chicago Cubs, 4,     Boxscore,
, St. Louis Cardinals, 3, @,  Cincinnati Reds, 1,     Boxscore,
,Tampa Bay Rays, 2, @,  Detroit Tigers, 5,     Boxscore,
, Atlanta Braves, 6, @,  Houston Astros, 4,     Boxscore,
,Pittsburgh Pirates, 1, @,  Los Angeles Dodgers, 2,     Boxscore,
, Washington Nationals, 6, @,  New York Mets, 2,     Boxscore,
, Kansas City Royals, 3, @,  Oakland Athletics, 0,     Boxscore,
, Arizona D'Backs, 4, @,  San Diego Padres, 2,     Boxscore,
,Seattle Mariners, 0, @,  Texas Rangers, 1,     Boxscore,
,Boston Red Sox, 3, @,  Toronto Blue Jays, 7,     Boxscore,
, New York Yankees, 6, @,  Baltimore Orioles, 4,     Boxscore,
, Milwaukee Brewers, 2, @,  Chicago Cubs, 1,     Boxscore,
,St. Louis Cardinals, 3, @,  Cincinnati Reds, 4,     Boxscore,
, Chicago White Sox, 10, @,  Cleveland Indians, 6,     Boxscore,
,San Francisco Giants, 8, @,  Colorado Rockies, 17,     Boxscore,
, Tampa Bay Rays, 4, @,  Detroit Tigers, 2,     Boxscore,
, Atlanta Braves, 6, @,  Houston Astros, 3,     Boxscore,
,Pittsburgh Pirates, 1, @,  Los Angeles Dodgers, 4,     Boxscore,
,LA Angels of Anaheim, 5, @,  Minnesota Twins, 6,     Boxscore,
, Washington Nationals, 4, @,  New York Mets, 0,     Boxscore,
,Kansas City Royals, 4, @,  Oakland Athletics, 5,     Boxscore,
,Miami Marlins, 1, @,  Philadelphia Phillies, 7,     Boxscore,
,Arizona D'Backs, 1, @,  San Diego Padres, 2,     Boxscore,
, Seattle Mariners, 4, @,  Texas Rangers, 3,     Boxscore,
,Boston Red Sox, 1, @,  Toronto Blue Jays, 3,     Boxscore,
,Milwaukee Brewers, 0, @,  Chicago Cubs, 8,     Boxscore,
, San Francisco Giants, 4, @,  Colorado Rockies, 2,     Boxscore,
,Tampa Bay Rays, 2, @,  Detroit Tigers, 7,     Boxscore,
,Pittsburgh Pirates, 2, @,  Los Angeles Dodgers, 3,     Boxscore,
,LA Angels of Anaheim, 9, @,  Minnesota Twins, 10,     Boxscore,
,Miami Marlins, 1, @,  Philadelphia Phillies, 3,     Boxscore,
, Arizona D'Backs, 3, @,  San Diego Padres, 1,     Boxscore,
,Seattle Mariners, 3, @,  Texas Rangers, 5,     Boxscore,
,Cincinnati Reds, 2, @,  Washington Nationals, 3,     Boxscore,
,Milwaukee Brewers, 8, @,  Atlanta Braves, 10,     Boxscore,
,Tampa Bay Rays, 2, @,  Boston Red Sox, 12,     Boxscore,
,Detroit Tigers, 2, @,  Chicago White Sox, 5,     Boxscore,
,Arizona D'Backs, 6, @,  Colorado Rockies, 7,     Boxscore,
, Cleveland Indians, 8, @,  Kansas City Royals, 3,     Boxscore,
,San Diego Padres, 8, @,  Los Angeles Dodgers, 9,     Boxscore,
,Houston Astros, 4, @,  Miami Marlins, 5,     Boxscore,
, Texas Rangers, 4, @,  Minnesota Twins, 1,     Boxscore,
,LA Angels of Anaheim, 0, @,  New York Yankees, 5,     Boxscore,
, New York Mets, 5, @,  Philadelphia Phillies, 2,     Boxscore,
, Oakland Athletics, 4, @,  Seattle Mariners, 0,     Boxscore,
,Pittsburgh Pirates, 0, @,  San Francisco Giants, 5,     Boxscore,
, Chicago Cubs, 9, @,  St. Louis Cardinals, 5,     Boxscore,
, Baltimore Orioles, 7, @,  Toronto Blue Jays, 5,     Boxscore,
,Cincinnati Reds, 1, @,  Washington Nationals, 2,     Boxscore,
