, St. Louis Cardinals, 3, @,  Chicago Cubs, 0,     Boxscore,
, San Francisco Giants, 5, @,  Arizona D'Backs, 4,     Boxscore,
,Pittsburgh Pirates, 2, @,  Cincinnati Reds, 5,     Boxscore,
,Minnesota Twins, 0, @,  Detroit Tigers, 4,     Boxscore,
,Cleveland Indians, 0, @,  Houston Astros, 2,     Boxscore,
,Chicago White Sox, 1, @,  Kansas City Royals, 10,     Boxscore,
,San Diego Padres, 3, @,  Los Angeles Dodgers, 6,     Boxscore,
, Atlanta Braves, 2, @,  Miami Marlins, 1,     Boxscore,
, Colorado Rockies, 10, @,  Milwaukee Brewers, 0,     Boxscore,
, Toronto Blue Jays, 6, @,  New York Yankees, 1,     Boxscore,
,Texas Rangers, 0, @,  Oakland Athletics, 8,     Boxscore,
, Boston Red Sox, 8, @,  Philadelphia Phillies, 0,     Boxscore,
,LA Angels of Anaheim, 1, @,  Seattle Mariners, 4,     Boxscore,
, Baltimore Orioles, 6, @,  Tampa Bay Rays, 2,     Boxscore,
, New York Mets, 3, @,  Washington Nationals, 1,     Boxscore,
,San Francisco Giants, 6, @,  Arizona D'Backs, 7,     Boxscore,
, San Diego Padres, 7, @,  Los Angeles Dodgers, 3,     Boxscore,
, Atlanta Braves, 12, @,  Miami Marlins, 2,     Boxscore,
, Colorado Rockies, 5, @,  Milwaukee Brewers, 2,     Boxscore,
, Texas Rangers, 3, @,  Oakland Athletics, 1,     Boxscore,
, LA Angels of Anaheim, 2, @,  Seattle Mariners, 0,     Boxscore,
, Baltimore Orioles, 6, @,  Tampa Bay Rays, 5,     Boxscore,
, San Francisco Giants, 5, @,  Arizona D'Backs, 2,     Boxscore,
,St. Louis Cardinals, 0, @,  Chicago Cubs, 2,     Boxscore,
,Pittsburgh Pirates, 4, @,  Cincinnati Reds, 5,     Boxscore,
,Minnesota Twins, 0, @,  Detroit Tigers, 11,     Boxscore,
, Cleveland Indians, 2, @,  Houston Astros, 0,     Boxscore,
,Chicago White Sox, 5, @,  Kansas City Royals, 7,     Boxscore,
,San Diego Padres, 4, @,  Los Angeles Dodgers, 7,     Boxscore,
, Atlanta Braves, 2, @,  Miami Marlins, 0,     Boxscore,
, Colorado Rockies, 5, @,  Milwaukee Brewers, 4,     Boxscore,
,Toronto Blue Jays, 3, @,  New York Yankees, 4,     Boxscore,
,Texas Rangers, 0, @,  Oakland Athletics, 10,     Boxscore,
,Boston Red Sox, 2, @,  Philadelphia Phillies, 4,     Boxscore,
, LA Angels of Anaheim, 5, @,  Seattle Mariners, 3,     Boxscore,
,Baltimore Orioles, 0, @,  Tampa Bay Rays, 2,     Boxscore,
,New York Mets, 1, @,  Washington Nationals, 2,     Boxscore,
,Pittsburgh Pirates, 2, @,  Cincinnati Reds, 3,     Boxscore,
,Minnesota Twins, 1, @,  Detroit Tigers, 7,     Boxscore,
, Cleveland Indians, 5, @,  Houston Astros, 1,     Boxscore,
,Chicago White Sox, 1, @,  Kansas City Royals, 4,     Boxscore,
, Toronto Blue Jays, 6, @,  New York Yankees, 3,     Boxscore,
, Texas Rangers, 10, @,  Oakland Athletics, 1,     Boxscore,
, Boston Red Sox, 6, @,  Philadelphia Phillies, 2,     Boxscore,
, San Francisco Giants, 1, @,  San Diego Padres, 0,     Boxscore,
, New York Mets, 6, @,  Washington Nationals, 3,     Boxscore,
, Kansas City Royals, 4, @,  LA Angels of Anaheim, 2,     Boxscore,
,Los Angeles Dodgers, 3, @,  Arizona D'Backs, 4,     Boxscore,
,New York Mets, 3, @,  Atlanta Braves, 5,     Boxscore,
, Toronto Blue Jays, 12, @,  Baltimore Orioles, 5,     Boxscore,
, Minnesota Twins, 6, @,  Chicago White Sox, 0,     Boxscore,
,St. Louis Cardinals, 4, @,  Cincinnati Reds, 5,     Boxscore,
, Detroit Tigers, 8, @,  Cleveland Indians, 4,     Boxscore,
,Chicago Cubs, 1, @,  Colorado Rockies, 5,     Boxscore,
,Tampa Bay Rays, 9, @,  Miami Marlins, 10,     Boxscore,
, Pittsburgh Pirates, 6, @,  Milwaukee Brewers, 2,     Boxscore,
, Boston Red Sox, 6, @,  New York Yankees, 5,     Boxscore,
,Seattle Mariners, 0, @,  Oakland Athletics, 12,     Boxscore,
,Washington Nationals, 1, @,  Philadelphia Phillies, 4,     Boxscore,
,San Francisco Giants, 0, @,  San Diego Padres, 1,     Boxscore,
, Houston Astros, 5, @,  Texas Rangers, 1,     Boxscore,
, Kansas City Royals, 6, @,  LA Angels of Anaheim, 4,     Boxscore,
,Los Angeles Dodgers, 0, @,  Arizona D'Backs, 6,     Boxscore,
,New York Mets, 3, @,  Atlanta Braves, 5,     Boxscore,
,Toronto Blue Jays, 1, @,  Baltimore Orioles, 7,     Boxscore,
,Minnesota Twins, 4, @,  Chicago White Sox, 5,     Boxscore,
, St. Louis Cardinals, 4, @,  Cincinnati Reds, 1,     Boxscore,
, Detroit Tigers, 9, @,  Cleveland Indians, 6,     Boxscore,
