,New York Mets, 3, @,  Kansas City Royals, 4,     Boxscore,
,St. Louis Cardinals, 1, @,  Pittsburgh Pirates, 4,     Boxscore,
, Toronto Blue Jays, 5, @,  Tampa Bay Rays, 3,     Boxscore,
, Chicago Cubs, 9, @,  LA Angels of Anaheim, 0,     Boxscore,
, Colorado Rockies, 10, @,  Arizona D'Backs, 5,     Boxscore,
, Washington Nationals, 4, @,  Atlanta Braves, 3,     Boxscore,
,Minnesota Twins, 2, @,  Baltimore Orioles, 3,     Boxscore,
,Philadelphia Phillies, 2, @,  Cincinnati Reds, 6,     Boxscore,
, San Francisco Giants, 12, @,  Milwaukee Brewers, 3,     Boxscore,
, Chicago White Sox, 4, @,  Oakland Athletics, 3,     Boxscore,
, Los Angeles Dodgers, 15, @,  San Diego Padres, 0,     Boxscore,
, Toronto Blue Jays, 5, @,  Tampa Bay Rays, 3,     Boxscore,
,Seattle Mariners, 2, @,  Texas Rangers, 3,     Boxscore,
, Chicago Cubs, 6, @,  LA Angels of Anaheim, 1,     Boxscore,
,Colorado Rockies, 6, @,  Arizona D'Backs, 11,     Boxscore,
, Boston Red Sox, 6, @,  Cleveland Indians, 2,     Boxscore,
, New York Mets, 2, @,  Kansas City Royals, 0,     Boxscore,
, Detroit Tigers, 8, @,  Miami Marlins, 7,     Boxscore,
, San Francisco Giants, 2, @,  Milwaukee Brewers, 1,     Boxscore,
, Houston Astros, 5, @,  New York Yankees, 3,     Boxscore,
, Chicago White Sox, 5, @,  Oakland Athletics, 4,     Boxscore,
,St. Louis Cardinals, 5, @,  Pittsburgh Pirates, 6,     Boxscore,
, Los Angeles Dodgers, 3, @,  San Diego Padres, 0,     Boxscore,
,Toronto Blue Jays, 2, @,  Tampa Bay Rays, 3,     Boxscore,
, Seattle Mariners, 10, @,  Texas Rangers, 2,     Boxscore,
, Colorado Rockies, 4, @,  Arizona D'Backs, 3,     Boxscore,
, Washington Nationals, 3, @,  Atlanta Braves, 1,     Boxscore,
,Minnesota Twins, 2, @,  Baltimore Orioles, 4,     Boxscore,
,Philadelphia Phillies, 2, @,  Cincinnati Reds, 3,     Boxscore,
,Boston Red Sox, 6, @,  Cleveland Indians, 7,     Boxscore,
, Detroit Tigers, 7, @,  Miami Marlins, 3,     Boxscore,
,San Francisco Giants, 3, @,  Milwaukee Brewers, 4,     Boxscore,
,Houston Astros, 6, @,  New York Yankees, 16,     Boxscore,
,Chicago White Sox, 1, @,  Oakland Athletics, 2,     Boxscore,
,St. Louis Cardinals, 1, @,  Pittsburgh Pirates, 5,     Boxscore,
, Los Angeles Dodgers, 7, @,  San Diego Padres, 0,     Boxscore,
,Toronto Blue Jays, 3, @,  Tampa Bay Rays, 5,     Boxscore,
, Seattle Mariners, 9, @,  Texas Rangers, 5,     Boxscore,
,Texas Rangers, 3, @,  LA Angels of Anaheim, 4,     Boxscore,
, Chicago Cubs, 14, @,  Arizona D'Backs, 6,     Boxscore,
,Minnesota Twins, 2, @,  Baltimore Orioles, 4,     Boxscore,
,Philadelphia Phillies, 6, @,  Cincinnati Reds, 10,     Boxscore,
,Houston Astros, 5, @,  New York Yankees, 8,     Boxscore,
, Chicago White Sox, 6, @,  Oakland Athletics, 1,     Boxscore,
,Los Angeles Dodgers, 6, @,  San Francisco Giants, 12,     Boxscore,
, Miami Marlins, 6, @,  Washington Nationals, 4,     Boxscore,
, Texas Rangers, 7, @,  LA Angels of Anaheim, 3,     Boxscore,
,Chicago Cubs, 2, @,  Arizona D'Backs, 3,     Boxscore,
, St. Louis Cardinals, 7, @,  Atlanta Braves, 4,     Boxscore,
,Tampa Bay Rays, 1, @,  Baltimore Orioles, 6,     Boxscore,
, Cleveland Indians, 7, @,  Chicago White Sox, 1,     Boxscore,
, Pittsburgh Pirates, 6, @,  Cincinnati Reds, 5,     Boxscore,
, San Diego Padres, 13, @,  Colorado Rockies, 6,     Boxscore,
,New York Yankees, 0, @,  Detroit Tigers, 4,     Boxscore,
,Minnesota Twins, 3, @,  Kansas City Royals, 4,     Boxscore,
,Houston Astros, 4, @,  Milwaukee Brewers, 6,     Boxscore,
