game,r_squared
1,0.322675054449
2,0.425776539759
3,0.511032800217
4,0.555165870575
5,0.604174573055
6,0.60893523149
7,0.653085127266
8,0.687485628289
9,0.706707733149
10,0.717143231041
11,0.733932193567
12,0.745752984175
13,0.763008384666
14,0.785897495817
15,0.799903721222
16,0.809840065058
17,0.820545704377
18,0.832084201868
19,0.834887503388
20,0.836668193418
21,0.839655639787
22,0.852226096223
23,0.856249240519
24,0.865966853927
25,0.875218964115
26,0.87971415485
27,0.883661584767
28,0.886777091259
29,0.891397537881
30,0.894128864004
31,0.89907086305
32,0.902055505183
33,0.911423523803
34,0.913419205279
35,0.917597517316
36,0.924618390181
37,0.925754105869
38,0.932043073069
39,0.936644824782
40,0.937598265112
41,0.941802750021
42,0.946587711837
43,0.950185546966
44,0.951595143063
45,0.954142324338
46,0.956384778606
47,0.959562913041
48,0.963097185482
49,0.966731475683
50,0.970470457371
51,0.972927903086
52,0.976428524691
53,0.97907105
54,0.980890999336
55,0.984057916826
56,0.984321515035
57,0.985740458586
58,0.987362241893
59,0.989056935344
60,0.991346126882
61,0.99590207607
62,1.0
